Image,PSNR (dB),SSIM,Accuracy (%),RMSE
10003.jpg,28.05,0.8752,94.56,10.09
1001.jpg,27.05,0.7564,85.63,11.32
10011.jpg,27.77,0.7633,88.63,10.42
1002.jpg,28.02,0.7267,89.3,10.13
10024.jpg,24.38,0.762,82.53,15.4
10028.jpg,26.28,0.688,86.82,12.37
10032.jpg,25.52,0.7701,83.38,13.5
10033.jpg,25.21,0.6528,77.11,14.0
10041.jpg,28.6,0.8063,91.66,9.47
10044.jpg,24.0,0.665,80.35,16.1
10045.jpg,26.36,0.7264,84.68,12.26
10063.jpg,27.63,0.7936,93.81,10.6
10064.jpg,27.33,0.6949,84.59,10.97
1007.jpg,25.25,0.6981,81.56,13.93
10071.jpg,24.46,0.6912,79.85,15.27
10076.jpg,26.68,0.7113,82.41,11.82
10078.jpg,28.46,0.8033,91.97,9.62
10080.jpg,27.37,0.7909,89.01,10.92
10086.jpg,26.37,0.6688,84.65,12.25
10093.jpg,24.74,0.6304,79.46,14.77
10095.jpg,24.52,0.6134,79.27,15.15
10097.jpg,23.27,0.7258,77.33,17.51
10104.jpg,26.99,0.7955,87.46,11.4
10119.jpg,25.47,0.7086,83.27,13.58
10121.jpg,29.78,0.8563,94.92,8.27
10123.jpg,26.11,0.7252,82.5,12.62
10131.jpg,26.02,0.7229,83.39,12.75
10132.jpg,26.85,0.6765,84.11,11.59
10133.jpg,27.38,0.7959,88.2,10.91
10143.jpg,26.09,0.7692,83.83,12.64
10148.jpg,25.5,0.7684,83.7,13.54
10149.jpg,26.98,0.6434,85.16,11.42
10151.jpg,28.51,0.7696,91.22,9.58
10156.jpg,20.45,0.5357,66.22,24.2
10157.jpg,26.27,0.6878,85.57,12.39
10158.jpg,25.58,0.7866,85.93,13.41
1016.jpg,25.69,0.7681,85.79,13.25
10160.jpg,25.27,0.6535,78.38,13.91
1018.jpg,25.86,0.7045,78.95,12.99
10182.jpg,25.86,0.721,82.51,12.98
10188.jpg,24.04,0.7112,75.99,16.02
10189.jpg,25.47,0.6836,79.83,13.58
10193.jpg,25.5,0.6444,79.18,13.54
1020.jpg,27.95,0.797,90.21,10.21
10202.jpg,29.07,0.7886,90.62,8.98
10204.jpg,25.87,0.6617,83.49,12.97
10210.jpg,27.0,0.819,90.38,11.39
10218.jpg,27.86,0.7428,88.17,10.32
10221.jpg,30.63,0.8833,96.42,7.5
10226.jpg,27.69,0.7833,88.34,10.53
10230.jpg,27.81,0.7501,88.69,10.37
10232.jpg,26.73,0.7332,83.45,11.75
10233.jpg,28.62,0.7467,91.69,9.46
10249.jpg,30.69,0.8603,96.87,7.45
1025.jpg,25.46,0.6398,80.45,13.6
10254.jpg,24.21,0.5712,76.02,15.7
10255.jpg,27.62,0.7518,87.64,10.6
10259.jpg,26.42,0.7358,82.72,12.18
10261.jpg,24.88,0.7009,84.27,14.54
10264.jpg,27.99,0.7529,87.42,10.17
10270.jpg,25.86,0.6764,80.92,12.99
1028.jpg,27.15,0.7285,87.46,11.19
10291.jpg,26.17,0.7255,81.93,12.53
10300.jpg,25.92,0.7354,82.88,12.9
10301.jpg,26.55,0.7448,83.39,11.99
10318.jpg,27.13,0.8202,91.44,11.23
10325.jpg,23.09,0.6087,73.81,17.87
10326.jpg,25.95,0.7118,82.97,12.86
10329.jpg,25.13,0.723,84.09,14.13
1033.jpg,27.57,0.7809,86.68,10.67
10333.jpg,26.31,0.6967,82.62,12.34
10347.jpg,28.8,0.715,92.14,9.26
10349.jpg,28.35,0.7862,90.55,9.75
10355.jpg,27.94,0.756,88.28,10.22
10362.jpg,28.78,0.807,91.67,9.28
10373.jpg,27.11,0.718,87.56,11.25
1038.jpg,27.2,0.7466,87.18,11.14
10385.jpg,34.62,0.8615,101.94,4.74
10393.jpg,27.8,0.717,88.49,10.39
10394.jpg,30.2,0.8492,96.58,7.88
10395.jpg,24.52,0.7436,82.08,15.15
10396.jpg,28.29,0.7825,90.42,9.82
10406.jpg,29.33,0.8815,96.56,8.71
10407.jpg,27.66,0.7778,88.59,10.56
1041.jpg,27.13,0.6708,83.22,11.22
10410.jpg,28.65,0.8424,93.68,9.42
10418.jpg,22.03,0.6212,69.73,20.19
10421.jpg,26.11,0.7189,79.95,12.62
10429.jpg,25.52,0.7718,85.66,13.5
10434.jpg,24.04,0.7327,84.21,16.02
10448.jpg,25.8,0.7817,86.3,13.08
10452.jpg,28.75,0.8184,91.15,9.32
10454.jpg,25.52,0.6571,83.9,13.5
1047.jpg,25.59,0.7065,81.36,13.39
10474.jpg,29.53,0.8473,94.87,8.51
10479.jpg,24.02,0.7177,79.92,16.06
1049.jpg,24.91,0.6341,77.71,14.49
10493.jpg,29.91,0.8435,95.49,8.15
10496.jpg,26.34,0.7474,82.98,12.3
10515.jpg,25.06,0.8133,87.37,14.24
10527.jpg,27.56,0.7635,86.89,10.68
1053.jpg,28.32,0.7597,91.48,9.78
10530.jpg,27.48,0.7354,90.56,10.77
10537.jpg,28.76,0.7244,92.37,9.3
10549.jpg,27.83,0.7383,89.35,10.36
1055.jpg,26.28,0.7534,86.15,12.37
10552.jpg,26.08,0.8118,87.17,12.66
10553.jpg,27.45,0.7139,85.86,10.81
10557.jpg,26.65,0.7168,85.54,11.85
10561.jpg,27.66,0.8216,90.05,10.56
10562.jpg,27.68,0.7642,91.62,10.53
10572.jpg,28.79,0.7815,91.88,9.27
10575.jpg,28.67,0.8261,93.35,9.4
10578.jpg,26.02,0.6893,82.77,12.75
10582.jpg,27.51,0.7286,87.85,10.74
10587.jpg,30.27,0.77,95.27,7.82
10590.jpg,26.7,0.6906,85.02,11.79
